,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
140000,082171659X,"American Rebellion (Doomsday Warrior, No 6)",Ryder Stacy,1986,Kensington Pub Corp (Mm),0.0
140001,0312954158,Once upon a Crime,Janet Hutchings,1995,St Martins Pr,0.0
140002,0553259105,The Late Great Me,Sandra Scoppettone,1984,Starfire,0.0
140003,0671729594,SEE NO EVIL (HARDY BOYS #8) (Hardy Boys Casefiles (Paperback)),Franklin W. Dixon,1990,Simon Pulse,0.0
140004,0671736744,"GENIUS THIEVES (HARDY BOYS CASE FILE 9) : GENIUS THIEVES (Hardy Boys Case Files, No 9)",Franklin W. Dixon,1991,Simon Pulse,0.0
140005,0671674889,"FRIGHT WAVE HARDY BOYS CASEFILES #40 (Hardy Boys Casefiles, No. 40)",Franklin W. Dixon,1990,Simon Pulse,0.0
140006,0671730916,"BEYOND THE LAW: HARDY BOYS CASEFILES #55 (Hardy Boys Casefiles, No 55)",Franklin W. Dixon,1991,Simon Pulse,0.0
140007,0394805712,The Kid in the Red Jacket,Barbara Park,1995,Random House Children's Books,0.0
140008,0671740849,The Mysterious Cases of Mr. Pin,Mary Elis Monsell,1992,Minstrel,0.0
140009,0590462288,Back to the Day Lincoln Was Shot! (Travelers Through Time),Beatrice Gormley,1996,Scholastic,0.0
140010,0140341684,The Bone Wars,Kathryn Lasky,1989,Penguin USA,0.0
140011,0380777622,Comanche,Fabio,1995,Harper Mass Market Paperbacks (Mm),1.6666666666666667
140012,0525465219,Benno's Bear,Naomi Flink Zucker,2001,Dutton Children's Books,0.0
140013,051510731X,Hard Rock,Giles Tippette,1991,Jove Books,0.0
140014,0345280334,The Dark Pasture,Jessica Stirling,1979,Ballantine Books,0.0
140015,0553283456,Under Contract,Liza Cody,1990,Bantam Books,0.0
140016,1558175598,The Secret Lives of the Edmonts,Lucy Kavaler,1991,Pinnacle Books (Mm),0.0
140017,006080484X,Schroeder's Game,Arthur Maling,1979,Random House Inc,0.0
140018,0881501328,Death of a Voodoo Doll (A Penny Spring and Sir Toby Glendower Mystery),Margot Arnold,1989,Countryman Press,1.6666666666666667
140019,0345364201,B &amp; E,Dave Pedneau,1991,Fawcett Books,0.0
140020,044912682X,The Mind Breakers,Dan Streib,1984,Fawcett Books,0.0
140021,0804102295,Die Hard,Roderick Thorp,1988,Ivy Books,2.6666666666666665
140022,0441001343,Dagger's Point,Anne Logston,1995,Ace Books,3.5
140023,0345353986,American Blood,John Nichols,1988,Ballantine Books,0.0
140024,0553117661,Deluge,Doyle,1978,Bantam Books,0.0
140025,0671476998,Terms of Surrender (Silhouette Special Edition),Janet Dailey,1982,Silhouette Books,0.0
140026,0440208777,"Head Games (Vicap, No 4)",Michael Newton,1991,Dell Publishing Company,0.0
140027,0553202693,Blow Out,William Harrison,1981,Bantam Books,0.0
140028,0812582705,Wildwood,John Farris,1986,Tor Books,1.6
140029,0394740793,Women As Mothers,Sheila. Kitzinger,1980,Vintage Books USA,0.0
140030,0380475308,Rest You Merry,Charlotte MacLeod,1988,Harper Mass Market Paperbacks (Mm),2.3333333333333335
140031,0373642245,"Call To Arms  (The Executioner #224) (Executioner, No 224)",MacK Bolan,1997,Gold Eagle,0.0
140032,0380008920,The Viking Process,Norman Hartley,1977,Avon Books,0.0
140033,0373075278,"On The Edge (Silhouette Intimate Moments, No 527)",Marilyn Cunningham,1993,Silhouette,0.0
140034,0373500718,"Maze of the Past (Mystique Books, 71)",Magali,1980,Worldwide Library,0.0
140035,0451163311,Marian's Christmas Wish (Signet Regency Romance),Carla Kelly,1993,New Amer Library (Mm),0.0
140036,0821771337,A Taste of Fire (Zebra Historical Romance S.),Hannah Howell,2001,Zebra Books,0.0
140037,0553133640,Love Has His Way,B. Cartland,1979,Bantam Books,0.0
140038,0373483414,Funny Thing Happened On The Way To The Delivery Room,Kasey Michaels,1997,Silhouette,4.0
140039,0449234029,Stranger with Gate,Mira Stables,1977,Fawcett Books,0.0
140040,0380768763,Irresistible,Catherine Hart,1994,Harper Mass Market Paperbacks (Mm),0.0
140041,0821754246,Emma's Heart,Rene J. Garrod,1996,Zebra Books,4.5
140042,0373260970,Hard Tack,Barbara D'Amato,1992,Worldwide Library,1.75
140043,0523405154,The Caller,Mary-Rose Hayes,1979,Pinnacle Books,0.0
140044,0446895571,Cheap Detective,Robert Grossbach,0,Warner Books> C/o Little Br,0.0
140045,044110603X,Citizen Vampire,Les Daniels,1983,Ace Books,0.0
140046,0939391295,Hunter Ranch,Roger Kirschbaum,2000,Woodley Pr,0.0
140047,0920501923,The Doubtful Guests,Marion Douglas,1993,Orca Book Pub,0.0
140048,0425045269,A Woman a Day,Philip Jose Farmer,1980,Berkley Pub Group,0.0
140049,0890849331,Wings of Gold,Lance Patterson,1997,Bob Jones University Press,0.0
140050,0671672649,WALTZ WITH THE LADY,Betina Lindsey,1990,Pocket,0.0
140051,0373056222,"Maverick Heart (Harlequin Desire, No 622)",Jackie Merritt,1991,Silhouette,0.0
140052,0373270461,"Shaded Leaves Of Destiny (Silhouette Shadows, No 46)",Sally Carleen,1994,Silhouette,5.0
140053,0452270278,Walking Dunes: A Novel (Plume Contemporary Fiction),Sandra Scofield,1993,Penguin USA,0.0
140054,0373760035,"Accidental Bodyguard (Man Of The Month) (Silhouette Desire, No 1003)",Ann Major,1996,Silhouette,3.0
140055,0373650086,Ooh Baby Baby (36 Hours) (36 Hours),Catherine Whitney,1997,Harlequin,0.0
140056,0373166192,"Flyboy (Valentine'S Men) (Harlequin American Romance, No 619)",Rosemary Grace,1996,Harlequin,0.0
140057,0373243847,"Standing Bear'S Surrender (Ilhoette Special Edition, No 1384)",Peggy Webb,2001,Silhouette,0.0
140058,037305694X,"Moonlight Miracle (Silhouette Desire, No 694)",Noelle Berry  McCue,1992,Silhouette,0.0
140059,0671731327,MISTLETOE AND HOLLY (Silhouette Romance),Janet Dailey,1990,Pocket,0.0
140060,037328795X,"Pieces Of Sky (Harlequin Historical, No 195)",Marianne Willman,1993,Harlequin,0.0
140061,0373166311,"Cowboy And The Heiress (Harlequin American Romance, No 631)",Dan Diamond,1996,Harlequin,0.0
140062,0671702688,GENEROUS DEATH,Nancy Pickard,1990,Pocket,3.5
140063,0449146936,Fierce Eden,Jennifer Blake,1990,Ivy Books,0.0
140064,0440205301,Angel in Marble,Elaine Coffman,1994,Dell Publishing Company,3.3333333333333335
140065,0449220850,The Stormy Petrel,Mary Stewart,1994,Fawcett Books,1.2
140066,0812542959,The Listening Ones,Naomi M. Stokes,1999,Tor Books (Mm),0.0
140067,0812551591,Spirits of Christmas,David G. Hartwell,1995,Tor Books,0.0
140068,0515064262,Blood and Dreams,Leslie Waller,1982,Jove Books,0.0
140069,1551668025,January Chill,Rachel Lee,2001,Mira,0.0
140070,0373483635,Summer Sensations (Silhouette Promo),Linda Howard,1998,Silhouette,0.0
140071,0380802481,Bride of Johnny McAllister,Lori Copeland,1999,Harper Mass Market Paperbacks (Mm),0.0
140072,0912376015,Hiding Place,Corrie Ten Boom,0,World Wide Books,5.0
140073,0525672893,The Magicians' Challenge,Tom McGowen,1989,Penguin USA (J),0.0
140074,0822942208,Where the Evidence Leads: An Autobiography,Dick Thornburgh,2003,University of Pittsburgh Press,0.0
140075,0821770055,"Lord Of The Wolves (Precious Gem Historical Romance, #58)",Selina MacPherson,2000,Kensington Publishing Corp.,0.0
140076,037328876X,"Once A Maverick (Harlequin Historical, No 276)",Fern Michaels,1995,Harlequin,0.0
140077,1572970367,Dr. Quinn Medicine Woman,Teresa Warfield,1996,Berkley Publishing Group,0.0
140078,0590053876,Missing Persons League,Frank Bonham,1983,Scholastic,0.0
140079,0380009579,The Frog Pond,Joyce MacIver,1977,Avon Books,0.0
140080,0440176336,Sabrina,Madeline Pollard,1980,Dell Publishing,0.0
140081,0307105555,Pretty Park (Little Super Shape Book),Bonnie Worth,1993,Golden Books,5.0
140082,0486286916,Three Little Pigs : Full-Color Sturdy Book (Dover Little Activity Books),Valeri Gorbachev,1996,Dover Publications,0.0
140083,0570050243,The Puzzle Club Christmas Mystery (Puzzle Club (Hardcover)),Dandi Daley MacKall,1997,Concordia Publishing House,0.0
140084,0590431013,A Sea Full of Sharks (Blue Ribbon Book),Betsy Maestro,1997,Scholastic,0.0
140085,0307126897,The Young Indiana Jones Chronicles: The Mummy's Curse,Parker Smith,1992,Golden Books,0.0
140086,0812527445,Woman Next Door,T. M. Wright,1990,Tor Books (Mm),0.0
140087,0553141422,A Woman's Age,Rachel Billington,1981,Bantam Books,0.0
