,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
260000,0060269367,Early Sorrow: Ten Stories of Youth,Charlotte Zolotow,1986,Harpercollins Juvenile Books,0.0
260001,0060992301,The last raven,Craig Thomas,1990,Harper &amp; Row,2.5
260002,006100054X,Spirit's Gold,Stuart Dillon,1993,Harper Mass Market Paperbacks,0.0
260003,0061000752,Aspen Affair,Burt Hirschfeld,1990,Harper Mass Market Paperbacks (Mm),0.0
260004,0061001449,This I Promise You,Tracy Stern,1991,Harper Mass Market Paperbacks (Mm),0.0
260005,0061006319,Mountain Thunder (Mountain Country),John Legg,1994,Harper Mass Market Paperbacks (Mm),0.0
260006,0061006483,Ice Wolf,Richard P. Henrick,1994,HarperPrism,0.0
260007,0061007943,Cottonwood Station,Michael Zimmer,1994,Harper Mass Market Paperbacks (Mm),0.0
260008,0061009458,The Soldiers : Tony Hillerman's Frontier #3 (Tony Hillerman's Frontier),Ken Englade,1996,HarperTorch,0.0
260009,0061009628,Buckskin Vengeance,John Legg,1996,Harper Mass Market Paperbacks (Mm),0.0
260010,0061010030,The Long Drift,Sam Brown,1996,Harper Mass Market Paperbacks,0.0
260011,0061011614,Burn the Breeze,Jack Brennan,1997,Harper Mass Market Paperbacks (Mm),0.0
260012,0061012726,Heaven's Gate: Cult Suicide in San Diego,Bill Hoffmann,1997,Harper Mass Market Paperbacks (Mm),0.0
260013,0061013854,The Complete Herbal Companion: Natural Solutions for You and Your Family,Elizabeth Burch,2000,HarperTorch,0.0
260014,0061054712,Conspicuous Consumption (The World of Darkness : Werewolf),Stewart Von Allmen,1995,Harper Mass Market Paperbacks (Mm),0.0
260015,0061054992,Eye of the Serpent (Chronicle of Aelwyn),Robert N. Charrette,1996,Harper Mass Market Paperbacks (Mm),0.0
260016,0061060135,"Glory's End (Robert Silverberg's Time Tours, No 2)",Nick Baron,1990,Harpercollins Juvenile Books,0.0
260017,0061060283,"The Secret Notebook (The Kids on the Bus, No 4)",Marjorie Weinman Sharmat,1991,Harpercollins Juvenile Books,0.0
260018,0061060399,"Mutiny! (Escape from Lost Island, No 3)",Clay Coleman,1991,Harpercollins Juvenile Books,0.0
260019,006106047X,"Revenge! (Escape from Lost Island, No 5)",Clay Coleman,1991,Harpercollins Juvenile Books,0.0
260020,0061060542,"Escape! (Escape from Lost Island, No 6)",Clay Coleman,1991,Harpercollins Juvenile Books,0.0
260021,0061060690,"Sneaking Around (Pizza Paradise, No 5)",Melissa Brennan,1992,Harpercollins Childrens Books,0.0
260022,0061061522,Along the Dangerous Trail,Bill Gutman,1993,Harpercollins Juvenile Books,0.0
260023,0061061999,Freshman Beach Party (Freshman Dorm),Linda A. Cooney,1994,Harpercollins Childrens Books,0.0
260024,0061062049,The Most Beautiful Horse in the World,Diane Redmond,1994,Harpercollins Juvenile Books,0.0
260025,0061062383,"Harry Goes to Camp (Monsterkids, No 3)",Gertrude Gruesome,1995,Harper Mass Market Paperbacks (Mm),0.0
260026,0061064343,"The Hunchback of Notre Dame (Enchanted Tales, No 3)",Sharon Holland,1996,Harpercollins Juvenile Books,0.0
260027,0061064742,Romeo and Ghouliette (BC 23) (Bone Chillers),Betsy Haynes,1998,HarperTorch,0.0
260028,0061065293,Thoroughbred #27 Christina's Courage (Thoroughbred),Joanna Campbell,1998,HarperEntertainment,0.0
260029,0061067261,Boardwalk,Katherine Applegate,1993,Harpercollins Juvenile Books,0.0
260030,0061081442,Vows Made in Wine (Harper Monogram),Susan Wiggs,1995,HarperCollins Publishers,0.0
260031,006108221X,Simply Heaven : Simply Heaven (Harper Monogram),Patricia Hagan,1995,HarperTorch,0.0
260032,0061090581,Quitting the Mob,Michael Franzese,1993,Harper Mass Market Paperbacks (Mm),0.0
260033,0061094331,A Respectable Trade,Philippa Gregory,1996,HarperCollins Publishers,0.0
260034,0064401316,Cry of the Crow: A Novel,Jean Craighead George,1988,HarperCollins Publishers,0.0
260035,0064403513,Chasing After Annie,Marjorie Weinman Sharmat,1991,Harpercollins Juvenile Books,0.0
260036,0064403629,My Brother Louis Measures Worms and Other Louis Stories,Barbara Robinson,1990,HarperTrophy,0.0
260037,0064404935,The Chilling Hour: Tales of the Real and Unreal (A Trophy Chiller),Collin McDonald,1994,Harpercollins Juvenile Books,0.0
260038,0064405125,Coco Grimes,Mary Stolz,1996,Harpercollins Juvenile Books,0.0
260039,0064405575,"My Brother the Ghost/Includes Free Temporary Tattoo (House of Horrors, No 1)",Suzanne Weyn,1994,Harpercollins Childrens Books,0.0
260040,0064407268,"Reed (The Wolfbay Wings , No 9)",Bruce Brooks,1998,HarperTrophy,0.0
260041,0064420019,Jason and the Escape from Bat Planet/a Trophy Chapter Book,Gery Greer,1995,Harpercollins Juvenile Books,0.0
260042,0064420655,"The Revenge of the Pirate Ghost (Black Cat Club , No 5)",Susan Saunders,1997,HarperTrophy,0.0
260043,0070242704,Personal relationships: An approach to marriage and family,Ernest J Green,1978,McGraw-Hill,0.0
260044,0070356874,A Killing Wind: Inside Union Carbide and the Bhopal Catastrophe,Dan Kurzman,1987,McGraw-Hill,0.0
260045,0070423741,Almost Like a Song,Ronnie Milsap,1990,McGraw-Hill,0.0
260046,0070826714,"Democracy and discontent: Progressivism, socialism and social credit in the Canadian west (The Frontenac library ; 2)",Walter D Young,1978,McGraw-Hill Ryerson,0.0
260047,0091706009,The ladies of Missalonghi (A Hutchinson novella),Colleen McCullough,1987,Hutchinson,0.0
260048,009181460X,Sleep Deep,Kenton,1996,Not Avail,0.0
260049,013055541X,Bad luck Tony: Story,Dennis B Fradin,1978,Prentice-Hall,0.0
260050,0133851621,Heartmates: A Survival Guide for the Cardiac Spouse,Rachael Freed,1987,Simon &amp; Schuster,0.0
260051,0140060588,Omnibus,Margery Allingham,1982,Penguin Books Ltd,0.0
260052,0140072888,1984 and Beyond,Nigel Calder,1984,Penguin Books Ltd,0.0
260053,0140097988,The Survival of Jan Little,John Man,1988,Select Penguin (Mm),0.0
260054,0140112510,Americana,Don DeLillo,1989,Penguin Books Ltd,0.0
260055,0140117601,Starting Out,Pierre Berton,1990,Penguin Books Ltd,0.0
260056,0140329129,Shot from Midfield (Alden All Stars Series),Tommy Hallowell,1990,Puffin Books,0.0
260057,014032951X,The Rabbi's Girls,Johanna Hurwitz,1989,Penguin USA,0.0
260058,014034117X,Winning Kicker,Thomas J. Dygard,1990,Puffin Books,0.0
260059,0140346694,Marcia,John Steptoe,1991,Puffin Books,0.0
260060,0140351027,Tale of Troy (Puffin Classics),Roger L. Green,1974,Penguin USA,0.0
260061,0140360220,Cam Jansen and the Mystery of the Carnival Prize (CAM Jansen (Paperback)),David A. Adler,1992,Puffin Books,0.0
260062,0140360239,Cam Jansen and the Mystery at the Monkey House (Puffin Chapters),David A. Adler,1993,Puffin Books,0.0
260063,0140361553,"Lights, Camera, Attitude! (Hollywood Wars, No 2)",Ilene Cooper,1993,Penguin/Puffin Mass Market (Mm),0.0
260064,0140363114,Gopher Takes Heart,Virginia Scribner,1995,Penguin USA,0.0
260065,0140364471,Tell Me Your Best Thing,Anna Grossnickle Hines,1994,Penguin USA,0.0
260066,014036644X,"Life's a Funny Proposition, Horatio",Barbara Garland Polikoff,1994,Puffin Books,0.0
260067,0140366636,"Tug of War (Foul Play, No 5)",J. C. Pearce,1993,Penguin USA,0.0
260068,0140368698,Underrunners,Margaret Mahy,1994,Puffin Books,0.0
260069,0140369376,The Raid,G. Clifton Wisler,1994,Puffin Books,0.0
260070,0140369449,What My Sister Remembered,Marilyn Sachs,1994,Puffin Books,0.0
260071,0140377417,I Hate Company (Puffin Chapters),P. J. Petersen,1998,Puffin Books,0.0
260072,0140388001,"Cam Jansen and the Mystery of the Television Dog (Cam Jansen Adventure, Book 4)",David A. Adler,1998,Puffin Books,0.0
260073,0140900837,Cold Blood (Fantail S.),Alan Durant,1994,Fantail,0.0
260074,0151309868,Final Gig: The Man Behind the Murder,George Eells,1991,Harcourt,0.0
260075,015184755X,Spirit Wrestler,James A. Houston,1980,Harcourt,0.0
260076,015191320X,The truth about dragons: an anti-romance,Hazard Adams,1971,Harcourt Brace Jovanovich,0.0
260077,0155161024,Criminal Justice,James A. Inciardi,1987,Harcourt Brace College Publishers,0.0
260078,019271337X,Anna,E. M Almedingen,1972,Oxford University Press,0.0
260079,0192829548,The Communist Manifesto (The World's Classics),Karl Marx,1992,Oxford University Press,0.0
260080,0195016165,Victorian Prose and Poetry (Oxford Anthology of English Literature),Lionel Trilling,1973,Oxford University Press,0.0
260081,0195402863,Okanagan,Hugo Redivo,1978,Oxford Univ Pr,0.0
260082,0297817736,"To Hell with Picasso, and Other Essays",Paul Johnson,1996,"George Weidenfeld &amp; Nicholson, Ltd.",0.0
260083,0300036558,French in Action: A Beginning Course in Language and Culture (Yale Language Series),Pierre J. Capretz,1987,Yale Univ Pr,0.0
260084,0304297259,Mistress of darkness,Christopher Nicole,1976,Cassell,0.0
260085,0307061345,Shapes and Colors (My First Golden Board Book),Denise Lewis Patrick,1990,Golden Books,0.0
260086,0307125874,Panda's New Pet (Look Look),Michael Berenstain,1990,Golden Books,0.0
260087,030722015X,"On The Air (Girl Talk, No 15)",L.E. Blair,1991,Golden Books,0.0
260088,0307247082,No Answer #4,R. L. Stine,1998,Golden Books,0.0
260089,0307249034,Caution: Aliens at Work (Ghosts of Fear Street #32),R.L. Stine,1998,Golden Books,0.0
260090,0307606317,A Fox Jumped Up One Winter's Night (Little Golden Reader Special Editions),Nina Barbaresi,1986,Goldencraft,0.0
260091,0307988139,The School Play (Little Golden Book),Mercer Mayer,1999,Random House Childrens Books,0.0
260092,0312032757,Hartman's game,Richard Hubert Francis Cox,1988,St. Martin's Press,0.0
260093,0312033222,Death of a Perfect Wife,M. C. Beaton,1989,St Martins Pr,0.0
260094,0312050658,Convoy of Fear,Philip McCutchan,1990,St Martins Pr,0.0
260095,0312054025,A Flash of Diamonds,Clarissa McNair,1991,St Martins Pr,0.0
260096,0312118112,An Easy Day for a Lady,Gillian Linscott,1995,St Martins Pr,0.0
260097,0312125399,The Cavalier in White,Marcia Muller,1986,St Martins Pr,0.0
260098,0312139225,An Arcadian Death: An Inspector Alvarez Novel,Roderic Jeffries,1996,St Martins Pr,0.0
260099,0312209088,Sea Trials,C. W. Morton,1999,St Martins Pr,0.0
260100,0312254733,White Mars,Brian W. Aldiss,2000,St. Martin's Press,0.0
260101,0312392486,H̫tel Transylvania: A novel of forbidden love,Chelsea Quinn Yarbro,1978,St. Martin's Press,0.0
260102,0312395647,The Pennsy era on Long Island,Ron Ziel,1984,Sunrise Special,0.0
260103,0312441444,Jeeves: A Gentleman's Personal Gentleman,C. Northcote Parkinson,1981,St Martins Pr,0.0
260104,0312531826,Midas World: A Novel,Frederik Pohl,1983,St Martins Pr,0.0
260105,0312549024,Moscow Requiem,John Simpson,1981,St Martins Pr,0.0
260106,0312836074,The Valkyrie Project,Michael. Kilian,1981,St Martins Pr,0.0
260107,0312850034,All About Women,Andrew M. Greeley,1989,St Martins Pr,0.0
