,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
120000,0140180966,The Secret Agent: A Simple Tale (Penguin Twentieth-Century Classics),Joseph Conrad,1991,Penguin Books,2.25
120001,0517202646,Teachers Are Special,NANCY BURKE,1998,Gramercy,3.0
120002,1884822118,Kindergarten Basics,Kate Kelly,1994,Black Dog &amp; Leventhal Publishers,7.0
120003,2290323217,Pas de temps a perdre,R.de Sa Moreira,2003,J'ai lu,0.0
120004,0312167792,Bachelor Brothers' Bed &amp; Breakfast Pillow Book,Bill Richardson,1997,St. Martin's Press,2.5
120005,345386882X,Das Robbins Power Prinzip. Wie Sie Ihre wahren inneren KrÃ?Â¤fte sofort einsetzen.,Anthony Robbins,2003,Heyne,6.0
120006,1881527271,Playhouses You Can Build: Indoor &amp; Backyard Designs (A Weekend Project Book),David R. Stiles,1996,Houghton Mifflin Co,7.0
120007,0696001551,Better Homes and Gardens Crocheting and Knitting (Better homes and gardens books),Better Homes and Gardens,1977,Meredith Books,0.0
120008,0312660472,Quick and Easy Knit and Crochet,Leslie Linsley,1983,Granite Impex Ltd,4.0
120009,0821763733,"Somewhere in the Night (Zebra Bouquet Romances, No 17)",Marcia Evanick,1999,Zebra Books,1.6666666666666667
120010,0821763741,"Unguarded Hearts (Zebra Bouquet Romances, No 18)",Lynda Cooper,1999,Zebra Books,5.0
120011,0380778459,A Place Called Home,Elizabeth Grayson,1995,Harper Mass Market Paperbacks (Mm),6.0
120012,082176439X,"Seducing Tony (Zebra Bouquet Romances, No 25)",Jona Jeffery,1999,Kensington Publishing Corporation,6.0
120013,0380778467,"So Wide the Sky: A Heart-Soaring Novel of Destiny, Love, Courage and Family",Elizabeth Grayson,1997,Harper Mass Market Paperbacks (Mm),7.0
120014,0821763512,"The Prince's Bride (Zebra Bouquet Romances, No 16)",Tracy Cozzens,1999,Zebra Books,5.0
120015,0553580132,Painted By The Sun,Elizabeth Grayson,2000,Bantam,1.5
120016,0821763490,"Crazy for You (Zebra Bouquet Romances, No 14)",Maddie James,1999,Zebra Books,1.6666666666666667
120017,0821764411,"Every Breath You Take (Zebra Bouquet Romances, No 27)",Suzanne McMinn,1999,Kensington Publishing Corporation,6.0
120018,0831796847,Great Wreath Ideas,Tim Frew,1992,Smithmark Publishers,7.0
120019,0821763156,"Mountain Magic (Zebra Bouquet Romances, No 11)",Susan Hardy,1999,Zebra Books,6.0
120020,0061001813,The Compass Rose,Ursula K. Le Guin,1991,HarperTorch,3.5
120021,0696023636,The Great Wreath Book: 49 Prizewinning Designs from Woman's Day,Theresa Capuana,1992,Meredith Books,9.0
120022,0505525151,Call of the Moon,Ronda Thompson,2002,Love Spell,5.571428571428571
120023,0345251989,To Live Forever,Jack Vance,1976,Ballantine Books,7.0
120024,0762101598,Weekend Projects (Build-It-Better-Yourself Woodworking Projects),Nick Engler,1991,Putnam Pub Group,5.0
120025,0878578943,The Weekend Woodworker: 101 Easy-To-Build Projects,John A. Nelson,1990,St Martins Pr,5.0
120026,0843948876,The Mountain King,Rick Hautala,2001,Leisure Books,3.0
120027,0425101819,Where Shadows Fall,Judith Kelman,1993,Berkley Publishing Group,0.0
120028,0062513222,"The Art of Living: The Classic Manual on Virtue, Happiness, and Effectiveness",Epictetus,1995,HarperSanFrancisco,8.0
120029,0393004597,Stoic Philosophy of Seneca Essays and Letters,Seneca,1968,W. W. Norton &amp; Company,8.0
120030,0385318774,More Die of Heartbreak,Saul Bellow,1997,Delta,3.2
120031,0028633857,The Complete Idiot's Guide to Twentieth Century History,Alan Axelrod,1999,Alpha Books,0.0
120032,0425149471,Street Sense for Parents: Keeping Your Child Safe in a Dangerous World,Louis R. Jr. Mizell,1995,Berkley Publishing Group,0.0
120033,0451202406,Vanishing Point: A Claire Reynier Mystery,Judith Van Gieson,2001,Signet Book,2.7142857142857144
120034,0671888773,Vogue &amp; Butterick's: Home Decorating Projects,Nancy Fleming,1994,Simon &amp; Schuster,7.0
120035,0374527148,"The Memoirs of Elias Canetti: The Tongue Set Free, the Torch in My Ear, the Play of the Eyes",Elias Canetti,2000,Farrar Straus Giroux,8.0
120036,055335406X,Windows 3.1 Power Tools (Bantam Power Tools Series),Geoffrey T. Leblond,1992,Bantam Books,0.0
120037,0374518203,Crowds and Power,Elias Canetti,1984,Farrar Straus Giroux,8.0
120038,0672305410,Teach Yourself C++ Programming in 21 Days,Jesse Liberty,1994,Macmillan Computer Pub,0.0
120039,0672305348,Teach Yourself Visual C++ 2 in 21 Days,Namir Clement Shammas,1994,Sams,5.0
120040,0415254086,Tractatus Logico Philosophicus (Routledge Classics),Ludwig Wittgenstein,2001,Routledge,9.0
120041,1565296818,Access 2 for Windows: Quickstart,Ricardo Birmele,1994,Macmillan Computer Pub,5.0
120042,0394700147,Moses and Monotheism,S. Freud,1967,Vintage Books USA,8.0
120043,0393001423,The Ego and the Id (The Standard Edition of the Complete Psychological Works of Sigmund Freud),Sigmund Freud,1962,W. W. Norton &amp; Company,9.5
120044,055310344X,Einstein in Berlin,Thomas Levenson,2003,Bantam,7.0
120045,0517093804,Albert Einstein: Out of My Later Years,ALBERT EINSTEIN,1993,Gramercy,3.0
120046,0965694879,Acts of God (Book Three of The Christ Clone Trilogy),James BeauSeigneur,1998,Warner,8.0
120047,3404162455,"Karibik, KÃ?Â¼sse, Caipirinhas.",Sibylle Keller,2003,LÃ?Â¼bbe,5.0
120048,0609807161,Batavia's Graveyard: The True Story of the Mad Heretic Who Led History's Bloodiest Mutiny,Mike Dash,2003,Three Rivers Press (CA),0.0
120049,0673388638,"American Experiences, Vol. 2: 1877 to the Present",James S. Olson,1990,Scott Foresman/Addison-Wesley,9.0
120050,0517175126,Katharine Hepburn,Barbara Leaming,1997,Random House Value Pub,7.0
120051,0920151078,"Bach, Beethoven, and the Boys: Music History As It Ought to Be Taught",David W. Barber,1986,Firefly Books,10.0
120052,0679447741,My Summer With George,Marilyn French,1996,Random House Inc,1.5
120053,0843949562,Judas Eyes,Barry Hoffman,2002,Leisure Books,1.0
120054,0312870035,David and Lisa: Jordi : Little Ralphie and the Creature,"Theodore Issac, Md. Rubin",1998,Forge,0.0
120055,0060505710,The Perfect Lover,Stephanie Laurens,2003,William Morrow,1.625
120056,0671691775,CHESS IN A NUTSHEL,Fred Reinfeld,1989,Pocket,6.0
120057,0451145453,"Alex, the Life of a Child",Frank Deford,1984,Signet Book,0.0
120058,0553111434,When Venus Fell,Deborah Smith,1998,Bantam Dell Pub Group,0.0
120059,0801060656,Chalkdust: Prayer Meditations for a Teacher,Elspeth C. Murphy,1978,Baker Book House,10.0
120060,0679740708,Makes Me Wanna Holler: A Young Black Man in America,Nathan McCall,1995,Vintage Books USA,4.0
120061,0395667879,The Amazing Paper Cuttings of Hans Christian Andersen,Beth Wagner Brust,1994,Houghton Mifflin Company,0.0
120062,084231394X,Hinds' Feet on High Places,Hurnard,1986,Tyndale House Publishers,0.0
120063,0380978377,The Speed of Light,Ron Carlson,2003,HarperTempest,8.0
120064,0670869376,Medicine Quest: In Search of Nature's Healing Secrets,Mark J. Plotkin,2000,Viking Penguin Inc,0.0
120065,1558215409,Diving on the Edge: A Unique Guide for New Divers,Michael Bane,1998,Lyons Press,0.0
120066,0066238471,Breaking Point,Alex Flinn,2002,HarperTempest,2.3333333333333335
120067,0446672505,Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters,Joan Ryan,1996,Warner Books,5.8
120068,0670830623,Beginning the World Again: A Novel of Los Anamos,Roberta Silman,1990,Penguin USA,5.0
120069,1558748288,But I Don't Feel Too Old to Be a Mommy: The Complete Sourcebook for Starting( and Restarting) Motherhood Beyond 35 and After40,Doreen Nagle,2002,Health Communications,0.0
120070,0802769853,While You Are Asleep,Gwynne L. Isaacs,1991,Walker &amp; Co,5.0
120071,0268016062,The Reasons of the Heart: A Journey into Solitude and Back Again into the Human Circle,John S. Dunne,1979,University of Notre Dame Press,9.0
120072,3473581801,Die ohne Segen sind. ( Junge Erwachsene).,Richard van Camp,2002,Ravensburger Buchverlag,7.0
120073,0809235293,The Quotable Dog,Lisa A. Rogak,1994,McGraw-Hill/Contemporary Books,0.0
120074,0060286180,Don't Know Much About the Pioneers (Don't Know Much About),Kenneth C. Davis,2003,HarperCollins Publishers,9.0
120075,0688174817,Pictures for Miss Josie,Sandra Belton,2003,Amistad,5.0
120076,1883294517,Fright Train (Sammy and Brian Mystery),Ken Munro,1997,Masthof Pr,10.0
120077,1890731102,Saint Hedwig and Me,Michael Krechiock,2001,Allegro Press,5.0
120078,0440228476,A Gift of Magic (Laurel-Leaf Books),Lois Duncan,1999,Laurel-Leaf Books,1.5
120079,0689824149,DOING TIME,Rob Thomas,1999,Simon Pulse,7.0
120080,0439339219,"The School of Fear (Star Wars: Jedi Quest, Book 5)",Jude Watson,2003,Scholastic Paperbacks,5.0
120081,0590884956,"Dream Storm (Remnants, Book 11)",K. A. Applegate,2003,Scholastic Paperbacks,0.0
120082,0590884948,"Lost and Found (Remnants, Book 10)",K. A. Applegate,2002,Scholastic Paperbacks,1.0
120083,0763610348,When I Was Your Age: Original Stories About Growing Up (When I Was Your Age),Francesca Lia Block,2001,Candlewick Press (MA),4.0
120084,0439215994,"Survival in the Storm: The Dust Bowl Diary of Grace Edwards, Dalhart, Texas, 1935 (Dear America)",Katelan Janke,2002,Scholastic,0.0
120085,0439305284,The Barn Burner,Patricia Willis,2002,Apple Paperbacks (Scholastic),0.0
120086,0689852223,The House of the Scorpion,Nancy Farmer,2002,Atheneum/Richard Jackson Books,1.6
120087,1577486471,Keep It Simple (Gift Books),Ellyn Sanna,1999,Barbour Pub Inc,8.0
120088,1576733882,No Wonder They Call Him the Savior: Chronicles of the Cross,Max Lucado,1995,Multnomah Publishers,5.0
120089,0883964651,Friends for Life: A Collection of Poems (Friendship),Gary Morris,1998,Blue Mountain Arts,7.0
