,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
180000,0786843047,Pooh's Pumpkin School Market Edition,Isabel Gaines,1998,Disney Press,8.5
180001,0373073623,"Blue Ice (Silhouette Intimate Moments, No 362)",Marilyn Tracy,1990,Silhouette,0.0
180002,0395465168,The Greatest Risk of All,Walter Anderson,1988,Houghton Mifflin,0.0
180003,0399225080,Every Autumn Comes the Bear,Jim Arnosky,1993,Putnam Publishing Group,7.0
180004,0440178991,Silver Love (Candlelight Supreme No 164),Hayton Monteith,1987,Dell Publishing,0.0
180005,0940368560,The Qur'an,Mohammedali H. Shakir,1999,Tahrike Tarsile Qur'an,5.0
180006,0816775044,The Emperor's New Clothes (Troll's Best-Loved Classics),Hans Christian Andersen,2003,Troll Communications,10.0
180007,0060172185,Too Rich: The Family Secrets of Doris Duke,Pony Duke,1995,HarperCollins Publishers,2.0
180008,0881037761,Pippi Longstocking (Seafarer Book),Astrid Lindgren,1999,Sagebrush Bound,10.0
180009,0195030427,White Supremacy:  A Comparative Study in American and South African History,George M. Fredrickson,1982,Oxford University Press,0.0
180010,0525474331,Operating Manual for Spaceship Earth,R. Buckminster Fuller,1978,Dutton Books,0.0
180011,002034080X,The Fate of the Revolution: Interpretations of Soviet History from 1917 to the Present,Walter Laqueur,1987,Collier Books,7.0
180012,0439471516,Beauty and the Beast (Scholastic Readers),J. Elizabeth Mills,2003,Cartwheel Books,10.0
180013,0373052944,Texas Gold,Joan Hohl,1986,Silhouette,0.0
180014,0439040663,Franklin Is Lost (Franklin Series),Paulette Bourgeois,1998,Scholastic,8.0
180015,0830714596,"I'll Hold You in Heaven: Healings and Hope for the Parent of a Miscarried, Aborted, or Stillborn Child",Jack Hayford,1990,Regal Books,6.25
180016,0373075170,"One Last Chance (American Heroes) (Silhouette Intimate Moments, No 7517)",Justine Davis,1993,Silhouette,0.0
180017,0816729115,Valentine Fun Activity Book (Happy Valentine's Day!),Judith Stamper,1997,Troll Communications,7.0
180018,0840763077,Success Is Never Ending (Itty Bitty Books),Robert H. Schuller,1993,Thomas Nelson Inc,0.0
180019,0373028946,"Black Diamond (Harlequin Romance, No 2894)",Joanna Mansell,1988,Harlequin,0.0
180020,0307129330,The Lion King's Timon &amp; Pumbaa: You're All Wet! (Golden Look-Look Books),Barbara Bazaldua,1996,Random House Childrens Books,1.6666666666666667
180021,1858545617,Five Little Ducklings (Toddler's Tabbed Board Books),Lorna Read,1997,Autumn Publishing Ltd,10.0
180022,0440183502,Summer Fling: Candlelight Ecstasy 288 (Candlelight Ecstasy Romance),Natalie Stone,1984,Dell Publishing Company,0.0
180023,0439192595,The Best Halloween Hunt Ever (Read With Me Paperbacks),John Speirs,2000,Scholastic,10.0
180024,0060512121,On This Day : A Novel,Nathaniel Bellows,2004,Perennial,3.5
180025,0152699546,Smoky Night (Caldecott Medal Book),Eve Bunting,1994,Harcourt Children's Books,4.5
180026,067173895X,The LATE LADY : THE LATE LADY (Superintendent Bone Mystery),Susannah Stacey,1994,Pocket,0.0
180027,0425044939,The Marlow Chronicles,Lawrence Sanders,1979,Berkley Publishing Group,0.0
180028,0140009345,"Right Ho, Jeeves",P. G. Wodehouse,1975,Penguin Books,2.0
180029,0736421130,A Touch of Magic: A Spin-Around Book (Spin-Around Book),Judy Katschke,2003,Disney Press,10.0
180030,0451177770,The Bodyguard,Robert Tine,1992,Signet Book,0.0
180031,0590442805,"Clifford's Kitten (Clifford, the Big Red Dog)",Norman Bridwell,1994,Cartwheel Books,8.333333333333334
180032,0375805524,Thomas and the Magic Railroad : Diesel 10 Means Trouble,Britt Allcroft,2000,Random House Books for Young Readers,8.0
180033,0749306742,The Irish Witch,Denis Wheatley,1991,Mandarin,1.0
180034,0449123855,Quintana Roo,Gary Brandner,1984,Fawcett Books,0.0
180035,0440162467,The mysterious Mr. Quin,Agatha Christie,1982,Dell Pub. Co,0.0
180036,0907854036,"The Dictionary of Dreams: 10,000 Dreams Interpreted",Gustavus Hindman Miller,1984,Petersons,0.0
180037,0517459825,Giant 3-D Fairy Tale Book : Sleeping Beauty (Giant 3-D Fairy Tale Book),Outlet,1984,Crescent,8.0
