,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
90000,3596148146,Man soll den Mann nicht vor dem Morgen loben.,Ines Wandersleb,2001,"Fischer (Tb.), Frankfurt",1.3333333333333333
90001,0471382787,Professional Cooking,Wayne Gisslen,1999,John Wiley &amp; Sons,8.0
90002,0471346462,Professional Baking,Wayne  Gisslen,2000,Wiley,7.0
90003,3458346538,Emma.,Jane Austen,2003,"Insel, Frankfurt",3.5
90004,0452259592,The Hornes: An American Family,Gail Lumet Buckley,1987,Penguin USA,0.0
90005,0345434358,The Duchess,Bertrice Small,2001,Ballantine Books,2.8
90006,1561380148,Shadowgraphs Anyone Can Make,Phila H. Webb,1991,Running Pr,0.0
90007,0763604836,Sophie's Lucky (Sophie Books),Dick King-Smith,1999,Candlewick Press (MA),8.0
90008,0933264003,How to Be More Creative,David D. Edwards,1980,Occasional Productions,7.0
90009,0802813879,Spiritual Depression: Its Causes and Cure,David Martyn Lloyd-Jones,1965,Wm. B. Eerdmans Publishing Company,5.666666666666667
90010,1930502028,"A Family Tree, Taking Root",Doc Robertson,2001,Alfranpedoc Publishing,10.0
90011,0385301421,Maximum Bob,Elmore Leonard,1991,Bantam Dell Pub Group,8.666666666666666
90012,0840778015,The Thor Conspiracy: The Seventy-Hour Countdown to Disaster,Larry Burkett,1995,Thomas Nelson Inc,2.6666666666666665
90013,1578050421,The Stations of Still Creek,Barbara J. Scot,1999,Sierra Club Books,5.0
90014,0848714180,Country Afghans: The Vanessa-Ann Collection,Vanessa-Anne Collection,1994,Oxmoor House,8.5
90015,1591296943,The Last Train Home,Wayne Bryant,2002,Publishamerica,0.0
90016,037570051X,Exegesis (Vintage Contemporaries),Astro Teller,1997,Vintage Books USA,3.2
90017,0345329821,Raney,Clyde Edgerton,1992,Ballantine Books,4.384615384615385
90018,0140018972,The Ministry of Fear,Graham Greene,1970,Penguin Books Ltd,6.0
90019,0020810903,How to Win Money at the Races,Nate Perlmutter,1979,Collier Books,2.5
90020,0671671596,Chuck Berry: The Autobiography,Chuck Berry,1988,Simon &amp; Schuster,8.0
90021,0140057056,John Hammond on Record: An Autobiography,John Hammond,1981,Penguin USA,8.5
90022,1575661128,Jump,Mike Lupica,1996,Kensington Publishing Corporation,0.0
90023,014600082X,Dead,James Joyce,1995,Viking Penguin Inc,2.5
90024,0345381688,Crashlander,Larry Niven,1994,Del Rey Books,1.8888888888888888
90025,014005832X,Laughing in the hills,Bill Barich,1981,Penguin Books,6.0
90026,0553273051,When the Fat Man Sings,Bill Murray,1988,Bantam Books,1.75
90027,0786853441,Disney's Winnie the Pooh : A Celebration of the Silly Old Bear (Welcome Book (Paperback)),Christopher Finch,2002,Disney Editions,0.0
90028,0380714469,Bloodfire,John Lutz,1992,Harper Mass Market Paperbacks,7.0
90029,0374290202,Wild Meat and the Bully Burgers,Lois-Ann Yamanaka,1996,Farrar Straus Giroux,0.0
90030,0345370724,Killer Diller,Clyde Edgerton,1992,Ballantine Books,0.75
90031,0609808184,My First Presidentiary : A Scrapbook by George W. Bush,Modern Humorist,2001,Three Rivers Press,5.5
90032,0425159027,Cold Fall,John E. Gardner,1997,Berkley Publishing Group,0.0
90033,051770787X,"Making More Plants: The Science, Art, and Joy of Propagation",Ken Druse,2000,Clarkson N Potter Publishers,8.0
90034,0671034839,Looking For Mo,Daniel Duane,1999,Washington Square Press,0.0
90035,0374223270,The Notebooks of Don Rigoberto,Mario Vargas Llosa,1998,Farrar Straus Giroux,2.6666666666666665
90036,0917320123,A Bell Ringing in the Empty Sky: The Best of the Sun (Bell Ringing in the Empty Sky),Sy Safransky,1985,Mho &amp; Mho Works,10.0
90037,0809241315,Confessions of a Medical Heretic,Robert  Mendelsohn,1990,McGraw-Hill/Contemporary Books,8.0
90038,076530158X,The Machine Crusade (Dune Series),Brian Herbert,2003,Tor Books,2.5555555555555554
90039,1578210615,Alien Encounters,Chuck Missler,1997,Koinonia House Inc,4.666666666666667
90040,0553348833,Tales from Planet Earth (Bantam Spectra Book),Arthur C. Clarke,1990,Bantam,7.0
90041,0743412850,Arthur C. Clarke's Venus Prime 4: The Medusa Encounter,Paul Preuss,2001,I Books,3.4
90042,0970152582,The Fool's Journey: A Romance,Lynn Miller,2002,Winedale Publishing,0.0
90043,082171113X,Escape from Laos,Dieter Dengler,1982,Kensington Pub Corp (Mm),10.0
90044,0380977494,Wildwood Boys: A Novel,James Carlos Blake,2000,William Morrow &amp; Company,3.5
90045,0395907020,The House on Hound Hill,Maggie Prince,1998,Houghton Mifflin Co,2.5
90046,047301002X,The impossible ride: The first bicycle ride across the Amazon jungle,Louise Sutherland,1990,Southern Cross Press,0.0
90047,0552524530,"\Living Fire\"" and Other Science Fiction Stories""",N. Fisk,1987,Transworld Publishers Ltd,0.0
90048,0851512593,Pilgrim's Progress,John Bunyan,1979,Banner of Truth,0.0
90049,0553207229,Dragondrums,Anne McCaffrey,1979,Bantam Books,3.5
90050,0877730253,TASSAJARA BREAD BOOK,EDWARD ESPE BROWN,1977,Shambhala,5.0
90051,0890096163,Do Cats Think?: Notes of a Cat-Watcher,Paul Corey,1991,Book Sales,2.6666666666666665
90052,084310211X,A Hotel Is a Place ...,Shelley Berman,1972,Price Stern Sloan Pub (J),7.0
90053,0920544894,Poetry Markets for Canadians,James Deahl,1992,Lpg Distribution,0.0
90054,0060964375,The Courage to Heal Workbook : A Guide for Women Survivors of Child Sexual Abuse,Laura Davis,1990,Perennial Currents,2.25
90055,8420401153,El Pelo De Van Hoff,Unai Elorriaga,2004,Santillana USA Pub Co Inc,4.0
90056,0879803959,Guide to Personal Happiness,Albert Ellis,1983,Wilshire Book Company,0.0
90057,0809128136,"About Men &amp; Women: How Your \Great Story\"" Shapes Your Destiny""",Tad Guzie,1986,Paulist Pr,7.0
90058,1558741577,Angry? Do You Mind If I Scream: How to Handle Your Anger,Devon Weber,1991,Hci,0.0
90059,0590441647,Weirdos From Another Planet Calvin and Hob,Bill Watterson,1990,Scholastic Inc,6.0
90060,0688088384,Throne of Gold: The Lives of the Aga Khans,Anne Edwards,1996,Harpercollins,4.0
90061,0446531642,Once Upon a Time: Behind the Fairy Tale of Princess Grace and Prince Rainier,J. Randy Taraborrelli,2003,Warner Books,6.333333333333333
90062,0451167767,Feeling Good: The New Mood Therapy,David D. Burns,1981,New Amer Library,6.0
90063,0064471462,Julie of the Wolves (Trophy Newbery),Jean Craighead George,1996,Harpercollins Juvenile Books,7.0
90064,1558284699,Java Programming Basics,Edith Au,1996,John Wiley &amp; Sons,0.0
90065,0060975814,Love Medicine,Louise Erdrich,1993,HarperCollins Publishers,0.0
90066,0671462873,CATCH ME YOU CAN,Frank W. Abagnale,1982,Pocket,0.0
90067,0195086252,Human Knowledge: Classical and Contemporary Approaches,Paul K. Moser,1995,Oxford University Press,0.0
90068,0345362632,Once upon a Time: A Treasury of Modern Fairy Tales,Lester Del Rey,1991,Del Rey Books,3.0
90069,0316313165,The Anna Papers: A Novel,Ellen Gilchrist,1988,Little Brown &amp; Co,2.3333333333333335
90070,0969816200,"Easy Beans: Fast and Delicious Bean, Pea, and Lentil Recipes",Trish Ross,1996,Big Bean Publishing,6.0
90071,034535947X,A Trap for Fools (Kate Fansler Novels (Paperback)),AMANDA CROSS,1990,Fawcett,0.75
90072,0534348939,Biological Psychology,James W. Kalat,1997,Thomson Learning,8.0
90073,0671751034,The Atlas of the Ancient World: Charting the Great Civilizations of the Past,Margaret Oliphant,1992,Simon &amp; Schuster,0.0
90074,0553287605,Trail from Taos (The Spanish Bit Saga Book 14),Don Coldsmith,1990,Bantam Books,2.6666666666666665
90075,1550132245,Summer North of Sixty,Raffan,1990,Firefly Books Ltd,0.0
90076,0345362462,Grumbles from the Grave,Robert A. Heinlein,1989,Ballantine Books,4.25
90077,0375422331,Isaac Newton,JAMES GLEICK,2003,Pantheon,7.0
90078,0670841919,Hearts of flame,Katherine Govier,1991,Viking,0.0
90079,0312939817,The Year of the Lucy,Anne McCaffrey,1986,St Martins Pr,0.0
90080,0449906175,Wildest Dreams,Jennifer Blake,1992,Ballantine Books,4.0
90081,0968125832,The Synthetic Beast,Andy Turnbull,2002,Hushion House Publishing Ltd.,0.0
90082,0890095825,"Edgar Rice Burroughs Science Fiction Classics: Pellucidar, Thuvia Maid of Mars, Tanar of Pellucidar, the Chessman of Mars, the Master Mind of Mars",Edgar Rice Burroughs,1992,Book Sales,0.0
90083,0060162481,King's Oak,Anne Rivers Siddons,1990,Harpercollins,1.6666666666666667
90084,0774800925,"Atlas of British Columbia: People, Environment, and Resource Use",A.L. Farley,1993,Univ of Washington Pr,9.0
90085,0716738236,Universe,William J. Kaufmann,1999,W.H. Freeman &amp; Company,0.0
90086,0471595497,"The Dynamic Earth: An Introduction to Physical Geology, 3rd Edition",Brian J. Skinner,1995,John Wiley &amp; Sons,0.0
90087,0201749696,Internet Security for Your Macintosh,Alan B. Oppenheimer,2001,Peachpit Press,0.0
90088,0679776192,Tao Te Ching,Lao Tsu,1997,Vintage Books USA,9.0
90089,0774032006,MacBeth,William Shakespeare,1990,Coles Pub Group Ltd,0.0
90090,0446672939,The Gadget Guru's Make-It-Easy Guide to Home Repair,Andy Pargh,1997,Warner Books,5.0
90091,1853264881,Tenant of Wildfell Hall (Wordsworth Classics),Anne Bronte,1999,Wordsworth,4.2
90092,0440228123,Sunshine Rider: The First Vegetarian Western (Laurel-Leaf Books),Ric Lynden Hardman,1999,Laurel Leaf Library,0.0
90093,0517548852,The Book of Knots and Ropework: Practical and Decorative,Eric C. Fry,1982,Crown Publishing Group,8.0
90094,0965307816,The Home Storage Checklist,Allen K. LeClaire,1996,Griffin Pub,7.25
90095,0670880817,Egotists and autocrats: The prime ministers of Canada,George Bowering,1999,Viking,4.0
90096,0310202310,The Campaign: A Novel,Marilyn Tucker Quayle,1996,Zondervan,1.5
90097,0670865982,The Drowning Room,Michael Pye,1996,Viking Books,2.0
90098,0385484135,The Anchor Essay Annual : The Best of 1997,PHILLIP LOPATE,1997,Anchor,4.0
90099,031286308X,Remember the Morning,Thomas Fleming,1997,St Martins Pr,0.0
90100,0192839659,Jane Eyre (Oxford World's Classics),Charlotte Bronte,2001,Oxford University Press,2.9
90101,031287376X,Buffalo Gordon: The Extraordinary Life and Times of Nate Gordon from Louisiana Slave to Buffalo Soldier,J. P. Sinclair Lewis,2001,Forge,0.0
