,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
50000,0969706626,"Labyrinths of Light (Munsey, Terence. Stoneman Series, Bk. 3.)",Terence Munsey,1995,Munsey Music,5.0
50001,0765199610,James McNeill Whistler: An American Master (American Art Series),Lisa N. Peters,1996,Smithmark Publishers,0.0
50002,0002165368,Arthur C. Clarke's mysterious world,Simon Welfare,1980,Collins,8.0
50003,0393035921,Russell Baker's Book of American Humor,Russell Baker,1993,W. W. Norton &amp; Company,0.0
50004,0133966224,How Do You Feel? a Guide to Your Emotions,John T. Wood,1974,Prentice Hall,0.0
50005,042510804X,Dr. Robert Anthony's Advanced Formula for Total Success: For Success-Minded People Who Want to Go Beyond Positive Thinking,Dr. Robert Anthony,1989,Berkley Publishing Group,0.0
50006,0600348296,Forbidden Voice Reflections of a Mohawk,Alma Greene,0,Hamlyn Publ Group Ltd,0.0
50007,0553761900,Dance While You Can,Shirley MacLaine,1992,Bantam Books,8.0
50008,0446351105,E Cayce Dead Sea,Glenn D. Kittler,1988,Warner Books,8.0
50009,0876043759,Story of Edgar Cayce: There Is a River,Thomas Sugrue,1997,A.R.E. Press (Association of Research &amp; Enlig,8.5
50010,0876043880,Edgar Cayce -- The Sleeping Prophet,Jess Stearn,1997,A.R.E. Press (Association of Research &amp; Enlig,8.0
50011,0743510267,Going Within : A Guide for Inner Transformation,Shirley MacLaine,2001,Audioworks,9.0
50012,1571740600,Gooberz,Linda Goodman,1997,Hampton Roads Publishing Company,5.0
50013,0330280627,Nostradamus: Countdown to Apocalypse,Jean-Charles de Fontbrune,1986,Pan Macmillan,7.0
50014,0425106039,Star People,Brad and Francie Steiger,1986,Berkley Pub Group (Mm),2.5
50015,0553052179,It's All in the Playing,Shirley MacLaine,1987,Bantam Dell Pub Group,2.6666666666666665
50016,0890831149,Secret Forces of the Pyramid,Warren Smith,1975,Zebra Books (Mass Market),0.0
50017,0446349283,Edgar Cayce on Jesus and His Church,Anne Read,1983,Not Avail,8.0
50018,0446357847,Edgar Cayce on Reincarnation,Noel Langley,1989,Warner Books,6.0
50019,0446351024,Edgar Cayce on Atlantis (Edgar Cayce),Edgar Evans Cayce,1988,Warner Books,8.0
50020,0425102467,Edgar Cayce's Story of Karma,Mary Ann Woodward,1994,Berkley Publishing Group,4.0
