,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
30000,1931866007,"Conversations with Millionaires: What Millionaires Do to Get Rich, That You Never Learned About in School!",Mike Litman,2001,Conversations with Millionaires LLC,1.3333333333333333
30001,0070610487,Networking with the Affluent,Thomas J. Stanley,1997,McGraw-Hill Trade,0.0
30002,0070610479,Marketing to the Affluent,Thomas J. Stanley,1997,McGraw-Hill Trade,0.0
30003,1567615295,The Complete Idiot's Guide to Starting Your Own Business (Serial),Marcia Layton,1995,Alpha Books,0.0
30004,0471467634,Mentored by a Millionaire : Master Strategies of Super Achievers,Steven K.  Scott,2004,John Wiley &amp; Sons,0.0
30005,0312872437,The Marriage of Sticks (Tom Doherty Associates Book),Jonathan Carroll,2000,Tor Books,0.875
30006,044661095X,Killing Time,Caleb Carr,2002,Warner Books,2.730769230769231
30007,061333633X,Timeline,Michael Crichton,2001,Sagebrush Bound,0.0
30008,0061008923,The Lost Testament,Alan Gold,1996,Harper Mass Market Paperbacks (Mm),0.0
30009,0440078121,So Many Partings,Cathy Cash Spellman,1983,Delacorte Press,0.0
30010,068160204X,The Royals,Kitty Kelley,2020,Bausch &amp; Lombard,1.4
30011,0826212034,"Dear Bess: The Letters from Harry to Bess Truman, 1910-1959 (Give 'em Hell Harry Series)",Harry S. Truman,1998,University of Missouri Press,5.666666666666667
30012,1559272503,Mrs. De Winter : The Sequel to Daphne du Maurier's Rebecca,Susan HIll,1993,Audio Renaissance,0.0
30013,0385285906,Love and Will,Rollo May,1995,Delta Trade Paperbacks,0.0
30014,038523502X,Betty: A Glad Awakening,Betty Ford,1987,Bantam Dell Pub Group,4.333333333333333
30015,0399511210,The Further Prophecies of Nostradamus: 1985 and Beyond,Erika Cheetham,1985,Perigee Books,0.0
30016,0395353009,The Prince of Tides,Pat Conroy,1986,Houghton Mifflin Company,3.3043478260869565
30017,0517662922,Victims: A Novel,Dorothy Uhnak,1988,Random House Value Pub,4.0
30018,0786014202,Thicker Than Water,P. J. Parrish,2003,Pinnacle Books,3.3
30019,1551667177,At The Stroke Of Madness (Maggie O'Dell Novels (Hardcover)),Alex Kava,2003,Mira Books,2.272727272727273
30020,0385134649,"Quasar, Quasar, Burning Bright: [Essays]",Isaac Asimov,1978,Bantam Dell Pub Group,0.0
30021,0446512451,Thy Brother's Wife ([The Passover trilogy]),Andrew M. Greeley,1982,Warner Books Inc,1.6666666666666667
30022,0671888005,LEADING WITH MY HEART : MY LIFE,Virginia Kelley,1994,Simon &amp; Schuster,0.0
30023,0894803166,The Garden Primer,Barbara Damrosch,1988,Workman Publishing,5.0
30024,0671024256,On Writing,Stephen King,2001,Pocket,4.066666666666666
30025,1889538019,"The Natural Water Garden (21st Century Gardening Series, Handbook No. 151)",C. Colston Burrell,1997,Brooklyn Botanic Garden,0.0
30026,044900094X,Woman on the Edge of Time,Marge Piercy,1997,Ballantine Books,1.5
30027,0312318383,The Two Americas : Our Current Political Deadlock and How to Break It,Stanley B. Greenberg,2004,Thomas Dunne Books,3.3333333333333335
30028,0385482493,The Gifts of the Jews : How a Tribe of Desert Nomads Changed the Way Everyone Thinks and Feels (Hinges of History),Thomas Cahill,1999,Anchor,2.0
30029,0060083816,"Don't Know Much About History : Everything You Need to Know About American History but Never Learned (Davis, Kenneth C. Don't Know Much.)",Kenneth C. Davis,2003,HarperCollins,3.0
30030,0375414827,The Language Police:  How Pressure Groups Restrict What Students Learn,DIANE RAVITCH,2003,Knopf,3.2777777777777777
30031,0671000624,GREAT FLYING STORIES,Frederick Forsyth,1997,Pocket,0.0
30032,0812881931,The Understudy,Elia Kazan,1986,Natl Book Network,0.0
30033,0449212777,The Lonely Sea,Alistair MacLean,1987,Fawcett Books,1.5
30034,0553297260,Darkness,John Saul,1992,Bantam Books,1.9821428571428572
30035,0020598904,The Age of Innocence,Edith Wharton,1920,Collier Books,4.0
30036,0449211649,Down to a Sunless Sea,David Graham,1982,Fawcett Books,0.0
30037,0804102201,The Thanatos Syndrome,Walker Percy,1994,Ivy Books,1.6
30038,1551666006,Angel Mine (Mira),Sherryl Woods,2000,Mira,2.4285714285714284
30039,0553211927,Sons and Lovers (Bantam Classics),D. H. Lawrence,1985,Bantam Books,4.0
30040,055327094X,Qb VII,Leon Uris,1982,Bantam Books,2.888888888888889
30041,0061099341,As the Crow Flies,Jeffrey Archer,1992,HarperTorch,2.234375
30042,0380008696,Herzog,Saul Bellow,1976,Avon,0.0
30043,038097536X,The Heir,Johanna Lindsey,2000,William Morrow &amp; Company,3.4615384615384617
30044,076962989X,I'm a Little Teapot (My Carry Along Board Books),Moira  Kemp,2003,Gingham Dog Press,0.0
30045,1400031699,The Little Friend,Donna Tartt,2003,Vintage,1.4807692307692308
30046,0740704818,The Blue Day Book,Bradley Trevor Greive,2000,Andrews McMeel Publishing,4.962962962962963
30047,0684837188,Lost Discoveries : The Ancient Roots of Modern Science--from the Babylonians to the Maya,Dick Teresi,2002,Simon &amp; Schuster,0.0
30048,0971394245,Abuse Your Illusions : The Disinformation Guide To Media Mirages And Establishment Lies,Russ Kick,2003,The Disinformation Company,4.5
30049,0440001994,Alaskans,Amanda Willoughby,1980,Dell Publishing,0.0
30050,0843945249,Cougar's Woman,Ronda Thompson,1999,Leisure Books,0.0
30051,0061085189,Heart of a Knight,Barbara Samuel,1997,Harper Mass Market Paperbacks (Mm),0.0
30052,0843940352,A Whisper in the Wind,Madeline Baker,1993,Leisure Books,0.0
30053,0871133652,Who Needs Theatre: Dramatic Opinions,Robert Brustein,1987,Atlantic Monthly Press,0.0
30054,0441871976,A War of Shadows,Jack L. Chalker,1991,Ace Books,3.3333333333333335
30055,0674854292,Summer for the Gods: The Scopes Trial and America's Continuing Debate over Science and Religion,Edward J. Larson,1998,Harvard University Press,1.75
30056,0312869126,The Slave and the Free: Walk to the End of the World ; Motherlines,Suzy McKee Charnas,1999,Tor Books,2.6666666666666665
30057,0671530674,How To Play Popular Piano In 10 Easy Lessons,Norman Monath,1984,Fireside,3.3333333333333335
30058,0762104295,Container Gardening for All Seasons,Reader's Digest,2003,Reader's Digest Association,3.3333333333333335
30059,0696215462,Biggest Book of Slow Cooker Recipes (Better Homes &amp; Gardens (Paperback)),Chuck Smothermon,2002,Better Homes and Gardens Books,1.6666666666666667
30060,039952844X,"Cook Once, Eat for a Week: A Busy Mom's Healthy Cookbook",Jyl Steinback,2003,Berkley Publishing Group,0.0
30061,0312875894,Point of Dreams,Melissa Scott,2001,Tor Books,2.25
30062,0385483724,"Desire of the Everlasting Hills: The World Before and After Jesus (Hinges of History (Paper), Vol 3)",Thomas Cahill,2001,Anchor Books/Doubleday,2.2222222222222223
30063,0060506040,Worlds Enough &amp; Time : Five Tales of Speculative Fiction,Dan Simmons,2002,Eos,0.0
30064,0060510862,The Forever War,Joe Haldeman,2003,Eos,1.5
