,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
150000,0819310573,Clara Joins the Circus,Michael Pellowski,1982,Granite Impex Ltd,0.0
150001,0028233220,America Is,Drew,1991,Glencoe/McGraw-Hill,0.0
150002,0819310476,The Biggest Shadow in the Zoo,Jack Kent,1981,Penguin USA,0.0
150003,0819311413,I'd Like to Be (Parents Magazine Read Aloud Original),Steven Kroll,1987,Parents Magazine Press,0.0
150004,0741407612,Recipe For Rage,Marilyn Janson,2002,Infinity Publishing.com,9.0
150005,1550744399,Electric Gadgets and Gizmos: Battery-Powered Buildable Gadgets That Go! (Kids Can Do It),Alan Bartholomew,1998,Kids Can Press,5.0
150006,0819310034,Sylvester Bear overslept,Jan Wahl,1979,Parents' Magazine Press,0.0
150007,0806995416,Click: Fun With Photography,Susanna Price,1997,Sterling Publishing,7.0
150008,0819310972,Snow Lion,David M. McPhail,1983,Parents Magazine Press,0.0
150009,0373222890,"Tangled Vows (Harlequin Intrigue, No 289)",Rebecca York,1994,Harlequin,0.0
150010,0761515658,Nintendo 64 Player's Choice Games Pocket Power Guide,PCS,1998,Prima Lifestyles,0.0
150011,014015096X,The Portable Karl Marx (Viking Portable Library),Eugene Kamenka,1983,Penguin Books,0.0
150012,0899422993,The Stations of the Cross,Lawrence G. Lovasik,1978,Catholic Book Publishing Company,10.0
150013,0819311952,Come to my party (A Parents magazine read aloud original),Stephanie Calmenson,1991,Parents Magazine Press,0.0
150014,0590399918,"Invasion of the Body Squeezers, Part 1 (Goosebumps Series 2000, No 4)",R. L. Stine,1998,Apple (Scholastic),0.0
150015,0819310190,Those Terrible Toy-Breakers,David M. McPhail,1980,Parents Magazine Press,0.0
150016,0553583751,Guinness World Records 2001,Tim Footman,2001,Bantam Books,2.3333333333333335
150017,0819311030,Bicycle Bear (A Parents magazine read aloud and easy reading program original),Michaela Muntean,1983,Parents Magazine Press,0.0
150018,1884628028,Quick and Easy Paper Planes that Really Fly,Paul Jackson,1997,Flying Frog Publishing,0.0
150019,3746614848,Tom Dickens und die Geliebte des Malers.,Amy Myers,2001,Aufbau Tb,0.0
150020,0441002668,A Whisper of Blood,Ellen Datlow,1995,Ace Books,0.0
150021,0553214438,The Screwtape Letters (Bantam Classics),C. S. Lewis,1995,Bantam Books,0.0
150022,0930948068,"Harmonica Americana: History, Instruction and Music for 30 Great American Tunes (Harmonica)",Jon Gindick,1996,Music Sales Corporation,0.0
150023,0819311693,Leon's Prize (A Parents Magazine Read Aloud Original),Jerry Smath,1987,Parents Magazine Press,0.0
150024,0312957610,Beyond the Misty Shore: A Seascape Romance (Seascape (St. Martins)),Victoria Barrett,1996,St Martins Pr (Mm),0.0
150025,0819310611,Miss Mopp's lucky day,Leslie McGuire,1981,Parents Magazine Press,0.0
150026,0819310816,Buggly Bear's Hiccup Cure,True Kelley,1982,Penguin USA,0.0
150027,0553572881,"Shadow Star (Chronicles of the Shadow War, Book 3)",Chris Claremont,2000,Spectra Books,9.666666666666666
150028,0819311227,"Oh, so silly! (Read aloud and easy reading program original)",Susan Alton Schmeltz,1983,Parents Magazine Press,0.0
