,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
230000,037319689x,"The Bridal Chonicles (Silhouette Romance, 1689)",Lissa Manley,2003,Silhouette,6.0
230001,0670849057,Into This Night We Are Rising,Jonathan London,1993,Penguin USA,5.0
230002,037312323X,Husband By Arrangement  (Wedlocked!),Sara Wood,2003,Harlequin,1.75
230003,1857984870,"Fey, The - Changeling (The Fey)",Kristine Kathryn Rusch,1996,Weidenfeld &amp; Nicholson military,0.0
230004,0876054807,The Bichon Frise : An Owner's Guide to a Happy Healthy Pet  (Happy Healthy Pet),Mary  Vogel,1996,Howell Book House,9.0
230005,059052836X,The Wild Hunt (Point Signature),Jane Yolen,1997,Scholastic,5.0
230006,067172049X,The Wizardry Cursed,Rick Cook,1991,Baen,6.0
230007,8472232832,Cuentos Sin Plumas (Andanzas),Woody Allen,2002,Tusquets,8.0
230008,1414011113,"Broken Wings: You May Break My Wings, But You Can Never Break My Spirit",Zoe Jesnik,2003,Authorhouse,10.0
230009,0140236163,Sweet William: A Memoir of Old Horse,John Hawkes,1994,Penguin Books,5.0
230010,342320334X,entflammt. Geschichten vom Verlieben.,Eva Gesine Baur,2000,Dtv,0.0
230011,0399229051,Dolphin Sky,Ginny Rorby,1996,Putnam Publishing Group,0.0
230012,3426616025,'Das geht alles von Ihrer Zeit ab.',Piet Klocke,2000,Droemer Knaur,0.0
230013,0061062413,"Pat-A-Cake, Pat-A-Cake (Nursery Crimes)",Eric Weiner,1995,Harpercollins Juvenile Books,7.0
230014,3453865286,Eisprinzessin.,Barbara Minden,2003,Heyne,0.0
230015,0066620678,The Unfinished Revolution: Human-Centered Computers and What They Can Do For Us,Michael L. Dertouzos,2001,HarperBusiness,10.0
230016,1587883279,Taking Lottie Home,Terry Kay,2001,Paperback Nova Audio,6.5
230017,3442726263,Pong.,Sibylle Lewitscharoff,2000,Btb Bei Goldmann,0.0
230018,0876857640,Hollywood,Charles Bukowski,1989,Black Sparrow Books,8.0
230019,0743528271,In Her Shoes : A Novel,Jennifer Weiner,2002,Simon &amp; Schuster Audio,8.0
230020,0743529782,Lucky,Alice Sebold,2003,Simon &amp; Schuster Audio,4.0
230021,1552042065,Fruitcake (Mira (Audio)),R. J. Kaiser,2000,Mira Books,3.5
230022,0759678057,Selective Memories of Vietnam 1969-1970,Jack Head,2002,Authorhouse,0.0
