,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
220000,0425182045,Dog Island (Tom McInnes Novels),Mike Stewart,2002,Prime Crime,6.0
220001,0385135947,Dictionary of Saints,JOHN J. DELANEY,1980,Doubleday,0.0
220002,0517079054,Quincunx,Charles Palliser,1992,Random House Value Pub,9.0
220003,0060957921,A Charge to Keep : My Journey to the White House,George W. Bush,2001,Perennial,10.0
220004,060960869X,The Most Effective Organization in the U.S.: Leadership Secrets of the Salvation Army,ROBERT WATSON,0,Crown Business,9.5
220005,0385605234,Making Love: A Conspiracy of the Heart,Marius Brill,2003,Doubleday Books,8.5
220006,1400030935,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,2003,Vintage Books USA,0.0
220007,0140153721,Two Lives: Reading Turgenev and My House in Umbria,William Trevor,1992,Penguin Books,0.0
220008,067976786X,The Collected Works of Billy the Kid,Michael Ondaatje,1996,Vintage Books USA,0.0
220009,8421726005,LA Corrupcion De UN Angel/the Decay of the Angel,Yukio Mishima,1985,Noguer y Caralt,7.0
220010,8478094369,Cames de seda (Columna),Maria MercÃ¨ Roca i Perich,1993,Columna,6.0
220011,0876853963,"Collected Stories, 1939-1976",Paul Frederic Bowles,1978,Black Sparrow Books,8.0
220012,1564781755,London Bridge,Louis-Ferdinand Celine,1999,Dalkey Archive Press,5.0
220013,0140268731,Literary Agents: The Essential Guide for Writers,Debby Mayer,1998,Penguin Books,0.0
220014,0936399872,French Ways and Their Meaning,Edith Wharton,1997,Berkshire House Publishers,0.0
220015,0840367309,Leadership: The Journey Inward,Delorese Ambrose,1991,Kendall/Hunt Publishing Company,5.0
220016,0140106162,Sugar and Other Stories,A S Byatt,0,Penguin Putnam~trade,8.0
220017,0007160003,Transforming the Mind: Teachings on Generating Compassion,Bstan-Dzin-Rgya-Mtsho,2003,Thorsons Publishers,0.0
220018,1559391979,Stages of Meditation,Dalai Lama,2003,Snow Lion Publications,0.0
220019,0375411615,"Love, Etc.",Julian Barnes,2001,Alfred A. Knopf,4.8
220020,0393312852,"On Lies, Secrets, and Silence: Selected Prose 1966-1978",Adrienne Rich,1995,W. W. Norton &amp; Company,0.0
220021,9503702739,"Paloma, La",Patrick Suskind,1988,"Espasa Calpe Mexicana, S.A.",8.0
220022,3814401689,"Ein Fall fÃ?Â¼r TKKG, Bd.42, Gangster auf der Gartenparty",Stefan Wolf,1987,Pelikan,0.0
220023,1851492488,Opera Houses of Europe,Andras Kaldor,1997,Antique Collectors' Club,8.0
220024,1574090488,Wanderer,Sterling Hayden,1998,Sheridan House,0.0
220025,0874516471,After the Fire: The Destruction of the Lancaster County Amish,Randy-Michael Testa,1992,University Press of New England,5.0
220026,1560253002,Storm: Stories of Survival From Land and Sea,Clint Willis,2000,Adrenaline Books,5.0
220027,0966294521,Shaping Hawaii: The Voices of Women,Joyce Lebra,1999,Goodale Pubs,7.0
220028,0671019090,The Tenth Man,Graham Greene,1998,Washington Square Press,7.0
220029,1570611106,"Northern California Best Places: Restaurants, Lodgings, and Touring (Best Places)",Rebecca Poole Foree,1998,Pub Group West,5.0
220030,0679463240,Loving Graham Greene,Gloria Emerson,2000,Random House Trade,5.0
220031,0006550061,Splitting,Fay Weldon,0,Flamingo,7.0
220032,0140176500,Fraud,Anita Brookner,0,Penguin Putnam~trade,8.0
220033,0140145389,Brief Lives,Anita Brookner,0,Penguin Putnam~trade,8.0
220034,0938078496,This Once: Poems 1976-1996,Nick Bozanic,1997,Anhinga Press,0.0
220035,0349101825,Spiders House,Paul Bowles,0,Black Sparrow Press+,8.0
220036,0938078623,Practicing For Heaven,Julia B. Levine,1999,Anhinga Press,0.0
220037,0553576909,New Choices in Natural Healing,Bill Gottlieb,1997,Bantam Books,7.0
220038,0938078429,Unspeakable Strangers,Van K. Brock,1996,Anhinga Press,0.0
220039,1551450933,Sage Advice,Lois Kerr,1997,Northstone Publishing,5.0
220040,0835604500,Gifts of the Lotus (Quest Book),Virginia Hanson,1989,Quest Books (IL),0.0
220041,0938078348,Hands,Jean Monahan,1992,Anhinga Pr,0.0
220042,0865476241,Blues for Cannibals: The Notes from Underground,Charles Bowden,2002,North Point Press,1.0
220043,0938078666,Notations on the Visible World,Kathleen Wakefield,2000,Anhinga Publishing,0.0
220044,0938078739,This April Day,Judson Mitcham,2003,Small Pr Distribution,0.0
220045,0938078658,House on Fontanka,Earl S. Braggs,2000,Anhinga Publishing,0.0
220046,3423020482,Die Leiden Des Jungen Werther/the New Sorrows of Young Werther,Johann Wolfgang Von Goethe,1983,Distribooks Inc,0.0
220047,1401352154,Bling : A Novel,Erica Kennedy,2004,Miramax,0.0
220048,1585860409,The Grey Horse,Roberta A. MacAvoy,2002,ereads.com,8.5
220049,1592640907,An Apology For Autumn,David Turrill,2004,Toby Press,0.0
220050,0803495269,A Will of Her Own (Season of the Wilde Flowers Romance),Patricia Degroot,2002,Thomas Bouregy &amp; Co,9.0
220051,0142437832,Mr. Sammler's Planet,Saul Bellow,2004,Penguin Books,0.0
220052,1402201958,War of the Roses,Warren Adler,2004,Sourcebooks Landmark,0.0
220053,1582341893,Have You Heard,Anderson Ferrell,2004,Bloomsbury USA,0.0
220054,006016042X,Love Life,Bobbie Ann Mason,1989,Harpercollins,8.0
220055,0385507860,Don't Play in the Sun : One Woman's Journey Through the Color Complex,MARITA GOLDEN,2004,Doubleday,0.0
220056,1590130790,"Halfhyde's Island (The Halfhyde Adventures, Number 2)",Philip McCutchan,2004,McBooks Press,0.0
220057,2742739246,La mort du roi Tsongor: Roman (Domaine franÃ§ais),Laurent GaudÃ©,2002,Actes sud,0.0
220058,043957742X,Kissing the Rain,Kevin Brooks,2004,Chicken House,0.0
220059,0385292724,Tapping the Source,Kem Nunn,1984,Delacorte Press,0.0
220060,0060517506,Nothing to Lose,Alex Flinn,2004,HarperTempest,0.0
220061,044653241X,What Matters Most : Ten Lessons in Living Passionately from the Song of Solomon,Renita J. Weems,2004,Walk Worthy Press,0.0
220062,0938078585,3-Legged Dog,Donald Caswell,1999,Small Pr Distribution,7.0
220063,140007567X,The Whole Story and Other Stories,ALI SMITH,2004,Anchor Pub,8.0
220064,0972952926,The Little Earth Book,James Bruges,2004,Consortium,0.0
220065,1842550489,Julie and Me and Michael Owen Make Three,Alan Gibbons,2001,Orion Children's,0.0
220066,045053717X,The Axeman Cometh,John Farris,1991,Hodder &amp; Stoughton General Division,0.0
220067,0330400665,Monster Mission,Eva Ibbotson,2002,Pan Macmillan,0.0
220068,0801481457,An Ethics of Sexual Difference,Luce Irigaray,1993,Cornell University Press,0.0
220069,1857025849,MISBEGOTTEN,JAMES GABRIEL BERMAN,1996,HarperCollins Publishers,5.0
220070,0385502001,The Viaduct,GRACE F. EDWARDS,2003,Doubleday,0.0
220071,0330397885,Making Out 1: Zoey Fools Around (Making Out),Katherine Applegate,2001,Pan Macmillan,0.0
220072,0393049787,A Memory of War: A Novel,Frederick Busch,2003,W. W. Norton &amp; Company,0.0
220073,087286426X,Head Above Water (City Lights Italian Voices),Stefano Bortolussi,2003,City Lights Books,0.0
220074,0007113730,Boys on the Brain,Jean Ure,2002,Collins,0.0
220075,0517100630,Poems of Robert Burns,Robert Burns,1994,Random House Value Publishing,0.0
220076,1931561265,Reunion: A Novel,Michael Oren,2003,MacAdam/Cage Publishing,0.0
220077,1841211613,The Snog Log (Orchard Black Apple Fiction 10+),Michael Coleman,2001,Orchard Books,0.0
220078,1558684255,Culture Shock! Successful Living Abroad: A Parent's Guide,Robin Pascoe,1999,Graphic Arts Center Publishing Company,5.0
220079,0262031418,Introduction to Algorithms (MIT Electrical Engineering and Computer Science),Thomas H. Cormen,1990,The MIT Press,0.0
220080,1579660452,Alabama Troubadour,Karren Pell,2003,River City Publishing,0.0
220081,155868123X,Culture Shock!: Successful Living Abroad : A Wife's Guide (Culture Shock Practical Guides),Robin Pascoe,1993,Graphic Arts Center Publishing Company,5.0
220082,0966317106,U.S. Expatriate Handbook Guide to Living and Working Abroad,John W. Adams,1998,West Virginia Univ College of,5.0
220083,1877864145,Moving Your Family Overseas,Rosalind Kalb,1992,Intercultural Press,5.0
220084,0966822854,The Priest Who Couldn't Cheat,Hank Mattimore,2004,David A. Gawlik,0.0
