,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
60000,1857820355,Doctors of Death,Wensley Clarkson,1996,Blake Pub,2.5
60001,0373709161,"Unknown Sister (Twins) (Superromance, 916)",Rebecca Winters,2000,Harlequin,4.333333333333333
60002,0942084241,Fox 13 Tampa Bay One Tank Trips With Bill Murphy,Bill Murphy,1999,Seaside Publishing,3.3333333333333335
60003,0060195827,Paradise Alley: A Novel (Today Show Book Club #6),Kevin Baker,2002,HarperCollins,2.8333333333333335
60004,0743403436,Enemy Within,Robert K. Tanenbaum,2002,Pocket Star,2.090909090909091
60005,0061092827,Shades of Grace,Barbara Delinsky,1997,HarperTorch,2.689655172413793
60006,0801980135,A Step-By-Step Guide to Your Sewing Machine (Teach Yourself to Sew Better Series),Jan Saunders,1990,Krause Pubns Inc,0.0
60007,0961561432,Couture Cuisine: Cookbook of Recipes and Sewing Tips from Sewing Celebrities,David Hill,1989,Practicality Press,5.0
60008,0890098018,Tales of the Sea,Joseph Conrad,1984,Book Sales,5.0
60009,0312973624,Monica's Story,Andrew Morton,1999,St. Martin's Press,1.8571428571428572
60010,0345359941,The Veiled One,Ruth Rendell,1993,Fawcett Books,0.5384615384615384
60011,0449000613,Rose Cottage,Mary Stewart,1998,Ivy Books,2.625
60012,0448411202,Apollo 13: The Junior Novelization,Dino Anastasio,1995,Price Stern Sloan Pub (J),1.6666666666666667
60013,0060807253,Such friends are dangerous,Walter Tyrer,1984,Harper &amp; Row,9.0
60014,0786701684,Mystery Mile,Margery Allingham,1994,Carroll &amp; Graf Publishers,3.0
60015,0786703385,Pearls Before Swine: An Albert Campion Mystery,Margery Allingham,1996,Pub Group West,3.5
60016,0881502332,It's Murder With Dover (Detective Chief Inspector Dover Series),Joyce Porter,1992,Foul Play Press,0.0
60017,0553577360,The Garden Tour Affair (Gardening Mysteries (Paperback)),Ann Ripley,1999,Bantam Books,4.166666666666667
60018,0380705745,The Estate of the Beckoning Lady,Margery Allingham,1989,Harper Mass Market Paperbacks (Mm),6.2
60019,0671657798,"Goodbye, Nanny Gray",Susannah Stacey,1989,Pocket Books (Mm),6.0
60020,0670836125,I Dreamed of Africa,Kuki Gallmann,1991,Penguin USA,0.0
60021,0312209290,True Believers : A Gregor Demarkian Mystery (A Gregor Demarkian Mystery),Jane Haddam,2001,St. Martin's Minotaur,3.5
60022,0553268228,Independence (Wagons West),Dana Fuller Ross,1987,Bantam Books,1.25
60023,0805073922,Missing Justice : A Samantha Kincaid Mystery,Alafair Burke,2004,"Henry Holt &amp; Company, Inc.",0.0
60024,0743244184,Night Journey : A Novel,Murad Kalam,2003,Simon &amp; Schuster,2.0
60025,0439569745,Among the Barons,Margaret Peterson Haddix,2003,"Scholastic, Inc.",0.0
60026,0689839049,Among the Impostors,Margaret Peterson Haddix,2001,Simon &amp; Schuster Children's Publishing,8.0
60027,0020415133,Wolf Rider,Avi,1993,Simon Pulse,2.6666666666666665
60028,0812507584,Trojan Gold,Elizabeth Peters,1988,Tor Books,1.5555555555555556
60029,0340713305,What They Don't Tell You About Art (What They Don't Tell You About S.),Charley,1999,Trafalgar Square Books,7.0
60030,0140440100,Adventures of Don Quixote (Classics S.),Miguel De Cervantes,1988,Penguin Books,3.0
60031,0787946419,Secret Lovers : Affairs Happen . . . How to Cope,Luann  Linquist,1999,Jossey-Bass,0.0
60032,0778320561,Summer By the Sea (Mira),Susan Wiggs,2004,Mira,1.5555555555555556
60033,0345450183,Balance of Power,RICHARD NORTH PATTERSON,2004,Ballantine Books,2.5
60034,0451173406,Suspicion of Innocence,Barbara Parker,1994,Signet Book,2.260869565217391
60035,0060194839,Volumetrics: Feel Full on Fewer Calories,Barbara Rolls,2000,HarperCollins,4.0
60036,0345424301,Nameless Magery (Del Rey Discovery),Delia Marshall Turner,1998,Del Rey,4.5
60037,0786865342,Keep the Connection : Choices for a Better Body and a Healthier Life,Bob Greene,1999,Hyperion,4.0
60038,0060572965,Dead Witch Walking,Kim Harrison,2004,HarperTorch,3.0555555555555554
60039,0060735449,Island of the Sequined Love Nun,Christopher Moore,2004,Perennial,1.0
60040,0812545346,Canyons,P. D. Cacek,2001,Tor Books,0.0
60041,0451170857,A Cat in Wolf's Clothing (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,1994,Signet Book,3.3333333333333335
60042,0843950366,Body Electric,Susan Squires,2002,Leisure Books,2.769230769230769
60043,0316926345,Brideshead Revisited,Evelyn Waugh,1999,Back Bay Books,1.6363636363636365
60044,0553568949,The Sacrifice:  The First Book of the Fey,Kristine Kathryn Rusch,1995,Spectra Books,1.8333333333333333
60045,0786707186,Tea and Spices,Nina Roy,2000,Carroll &amp; Graf Publishers,3.5
60046,0385318200,A Woman of Passion,Virginia Henley,1999,Bantam Dell Pub Group,3.0
60047,0689860072,"Dragonsinger (Harper Hall Trilogy, Volume 2)",Anne McCaffrey,2003,Aladdin,4.0
60048,0553238159,Dragon Drums,Anne Mccaffrey,1982,Bantam Doubleday Dell,9.5
60049,0525935908,One on One,Tabitha King,1993,Penguin USA,2.0
60050,156563294X,The Hungry Heart: Daily Devotions from the Old Testament,Jan Carlberg,1997,Hendrickson Publishers,0.0
60051,0886775752,Turning Point (Daw Book Collectors),Lisanne Norman,1993,Daw Books,2.8333333333333335
60052,0505524384,Aphrodite's Kiss (Time of Your Life),Julie Kenner,2001,Dorchester Publishing Company,0.96
60053,0380788764,Charm City (Tess Monaghan Mysteries (Paperback)),Laura Lippman,1997,Avon,0.8
60054,0440224217,Shakespeare's Champion (Lily Bard Mysteries),Charlaine Harris,1998,Dell Publishing Company,0.0
60055,0553567764,Prince of Dreams,Susan Krinard,1996,Fanfare,3.2
60056,0843945559,Sips of Blood,Mary Ann Mitchell,1999,Leisure Books,2.25
60057,0061092886,The Fallen Man (Joe Leaphorn Novels),Tony Hillerman,1997,HarperTorch,3.0517241379310347
60058,044100069X,Deerskin,Robin McKinley,1994,Ace Books,4.78125
60059,0671024825,Wither's Rain : A Wendy Ward Novel,John Passarella,2003,Pocket Star,2.4285714285714284
60060,0679421068,The Price of a Child,Lorene Cary,1995,Random House Inc,2.6666666666666665
60061,067086207X,Whom the Gods Love,Kate Ross,1995,Penguin USA,10.0
60062,0670848476,Cut to the Quick,Kate Ross,1993,Penguin USA,3.3333333333333335
60063,0352332581,Cooking Up a Storm (Black Lace Series),Emma Holly,1998,Buccaneer Books Inc,10.0
60064,0765300346,War for the Oaks,Emma Bull,2001,Orb Books,6.071428571428571
60065,0525937668,The Book of Reuben,Tabitha King,1994,Penguin USA,8.5
60066,0451162625,Pearl,Tabitha King,1994,Signet Book,2.4285714285714284
60067,0441010504,Son of the Sword,J. Ardian Lee,2003,Ace Books,5.0
60068,0553565222,The Last Bachelor,Betina M. Krahn,1994,Fanfare,1.5
60069,0609609602,"Isolde, Queen of the Western Isle : The First of the Tristan and Isolde Novels",ROSALIND MILES,2002,Crown,0.0
60070,0441008038,Summers at Castle Auburn,Sharon Shinn,2001,Ace Books,6.2
60071,0345316401,Killer Angels,Michael Shaara,1983,Ballantine Books,0.0
60072,0553233963,The Lords of Discipline,Pat Conroy,1982,Bantam Books,3.3333333333333335
60073,0380722798,"Goodnight, Irene",Jan Burke,1997,Harper Mass Market Paperbacks (Mm),3.4
60074,0812584228,"Obernewtyn (The Obernewtyn Chronicles, Book 1)",Isobelle Carmody,2000,Tor Books,2.75
60075,0451184270,The Color of Love,Sandra Kitt,1995,Signet Book,0.0
60076,044100900X,Jenna Starborn,Sharon Shinn,2002,Ace Books,7.0
60077,0440213460,The Silver Kiss (AFI Film Readers),Annette Curtis Klause,1992,Laure Leaf,4.6
60078,0373261225,Zero At The Bone (A Katherine Driscoll Mystery),John N. Walker,1993,Worldwide Library,2.0
60079,1575669072,"Awaken, My Love (Brava Historical Romance)",Robin Schone,2001,BRAVA,2.6363636363636362
60080,0140420150,Poems and Prose of Gerard Manley Hopkins (Penguin Classics),W.H. Gardner,1983,Penguin Books,5.0
60081,0352331844,A Volcanic Affair (Black Lace Series),Xanthia Rhodes,1997,London Bridge,0.0
