,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
240000,0892965851,A Dead Man Out of Mind,Kate Charles,1995,Warner Books Inc,0.0
240001,0916119580,Under the Sky (Fun and Fantasy),Rozanne Lanczak Williams,1994,Creative Teaching Press,0.0
240002,0803493789,Too Many Suspects (Avalon Mystery),Ina Coggeshall,1999,Avalon Books,0.0
240003,0590413406,Jillian Jiggs,Phoebe Gilman,1988,Scholastic Paperbacks (T),0.0
240004,1890208728,Sound Tracks,Marcia Simpson,1997,Poisoned Pen Press,4.0
240005,1557349282,Apple Surprise Easy Reader,Cheryl F. Rice,1996,Partners Pub Group Inc,0.0
240006,1572232188,Just Goldens (Half Pint Series),Dale C. Spartas,1999,Willow Creek Press,10.0
240007,0816743754,"Pig at Play (Planet Reader, Level 1)",Jon Buller,1998,Troll Communications,0.0
240008,1559585226,"Antioxidants: Your Complete Guide : Fight Cancer and Heart Disease, Improve Your Memory, and Slow the Aging Process",Carolyn Reuben,1994,Prima Lifestyles,0.0
240009,1861603827,Your Puppys First Year,Don Harper,0,Eagle Editions,10.0
240010,1879682117,50 Simple Things You Can Do to Save Your Life,Faculty of the UCLA School of Public Health,1992,Behind The News Press,0.0
240011,051606004X,The Sun's Family of Planets (Rookie Read-About Science),Allan Fowler,1992,Children's Press (CT),0.0
240012,044842262X,Promo/What a Hungry P,Gail Herman,0,Grosset &amp; Dunlap,0.0
240013,0448422530,Promo/Silly Willy/PIC,Maryann Cocca-Leffler,0,Grosset &amp; Dunlap,0.0
240014,0671631896,DEADLY JUSTICE (Pocket Fiction),Dallas L. Barnes,1987,Pocket,0.0
240015,0307262006,"Dancing Dinos (Step-Into-Reading, Step 1)",SALLY LUCAS,1998,Random House Books for Young Readers,0.0
240016,0553050540,When Am I Going to Be Happy: How to Break the Emotional Bad Habits That Make You Miserable,Penelope Russianoff,1988,Bantam Dell Pub Group,0.0
240017,0312961820,Murder Most British: Stories from Ellery Queen's Mystery Magazine (Dead Letter Mysteries),Janet Hutchings,1997,St Martins Pr,0.0
240018,0671477870,MARY MARY,B.W. Battin,1985,Pocket,0.0
240019,0821732587,The Children's Ward,Patricia Wallace,1990,Kensington Pub Corp (Mm),0.0
240020,1557348995,Changing Seasons Easy Reader,Cheryl F. Rice,1996,Partners Pub Group Inc,0.0
240021,0746014147,New Pony (Farmyard Tales Readers),H. Amery,1993,Edc Pub,0.0
240022,030716263X,Poky and Friends: The Truth About Kittens and Puppies (Little Golden Storybook),Naomi Kleinberg,1999,Golden Books Publishing Company,0.0
240023,0679884769,"Arthur's Fire Drill (Step-Into-Reading, Step 3)",MARC BROWN,2000,Random House Books for Young Readers,0.0
