,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,rating
210000,0140134042,A Visit to Yazoo (Contemporary American Fiction),Charles Neider,1991,Penguin USA,0.0
210001,0312714106,Shadow of the Moon,M. M. Kaye,1979,St Martins Pr,0.0
210002,0316771562,Toward the end: A novel,Elizabeth Savage,1980,"Little, Brown",0.0
210003,0881840203,The Lost Weekend,Charles Jackson,1983,Pub Group West,0.0
210004,0060987189,What the Scarecrow Said,Stewart David Ikeda,1997,ReganBooks,0.0
210005,1551665646,Pieces Of Sky (Mira),Marianne Willman,2000,Mira,0.0
210006,0385188633,White Jazz,"Charles Hamilton, Newman",1984,Dial Press,0.0
210007,0671510584,FOLLOW THE WIND : A NOVEL,Bo Links,1995,Simon &amp; Schuster,0.0
210008,0807111546,The Divorce Sonnets,Harry H. Taylor,1984,Louisiana State University Press,0.0
210009,093841058X,Goodbye Sweetwater: New &amp; Selected Stories,Henry Dumas,1988,Pub Group West,0.0
210010,0525070206,The living end,Stanley Elkin,1979,Dutton,0.0
210011,8437614147,Cuentos Fantasticos,Galdos Perez,1998,"Ediciones Catedra, S.A.",6.0
210012,0821770004,Border Bride,Amanda Scott,2001,Zebra Books,0.0
210013,0395275911,Happy Endings,Margaret Logan,1979,Houghton Mifflin Co,0.0
210014,0671000683,OPTION DELTA: ROGUE WARRIOR (Rogue Warrior Series),Richard Marcinko,1999,Atria,0.0
210015,0821751611,Forbidden Kiss,Gina Robbins,1995,Zebra Books,0.0
210016,0688007562,The Canadian caper,Jean Pelletier,1981,W. Morrow,5.0
210017,0821764683,Mail-Order Bride (Zebra Splendor Historical Romances),Sandra Donovan,2000,Kensington Publishing Corporation,0.0
210018,0394746597,Betrayed by Rita Hayworth,Manuel Puig,1981,Vintage Books,0.0
210019,0373262418,Bleeding Of Innocents (Worldwide Library Mysteries),Jo Bannister,1997,Worldwide Library,0.0
210020,0787949345,"The Active Life : A Spirituality of Work, Creativity, and Caring",Parker J.  Palmer,1999,Jossey-Bass,5.0
210021,0373262833,"No Birds Singing (Wwl Mystery , No 283)",Jo Bannister,1998,Worldwide Library,2.6666666666666665
210022,1840461306,Heidegger and the Nazis,Jeff Collins,2000,Totem Books,0.0
210023,0821730363,Midnight Angel,Rochelle Wayne,1990,Kensington Pub Corp (Mm),1.6666666666666667
210024,1840460946,Derrida and the End of History (Postmodern Encounters),Stuart Sim,1999,Totem Books,0.0
210025,1840461187,Introducing Derrida,Jeff Collins,2001,Totem Books,0.0
210026,0440203252,Sweet Talkin' Stranger,Lori Copeland,1991,Dell Publishing Company,0.0
